stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,text_Feedback_Prac1.started,resp_trial_Prac1.rt,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,29,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.23375916700024,226.23375916700024,226.5335493340026,space,1,0.3594399169960525,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,V,none,,,,,,,0,30,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.23335883400068,227.23335883400068,227.53368466699976,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,E,none,,,,,,,0,31,31,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.23342216700257,228.23342216700257,228.53354208400197,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,32,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.23403991700252,229.23403991700252,229.53392945900123,space,1,0.3474192909998237,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,F,none,,,,,,,0,33,33,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.23396262499955,230.23396262499955,230.53391066699987,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,34,34,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.23364433400275,231.23364433400275,231.53358945900254,space,1,0.36280483399968944,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,35,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.23384287500085,232.23384287500085,232.5336491670023,space,1,0.3283659999979136,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,36,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.2338140840002,233.2338140840002,233.53477741700044,space,1,0.2820335829965188,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,Y,none,,,,,,,0,37,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.23411837499953,234.23411837499953,234.5344270420028,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,38,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.23405616700256,235.23405616700256,235.53371166700163,space,1,0.4612009170014062,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,39,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.23401595900214,236.23401595900214,236.53403112500018,space,1,0.3383154579969414,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,40,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2337815000028,237.2337815000028,237.53435591699963,space,1,0.2883456669987936,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,41,41,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.23397750000004,238.23397750000004,238.5344576250027,space,1,0.28883029099961277,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,42,42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.2338057090019,239.2338057090019,239.5338413339996,space,1,0.3730697919963859,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,H,none,,,,,,,0,43,43,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.23390570899937,240.23390570899937,240.53402966700014,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,44,44,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.23412520900092,241.23412520900092,241.53391479200218,space,1,0.40895991700017476,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,45,45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.23406712500218,242.23406712500218,242.53459120900152,space,1,0.2934362499981944,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,46,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.23431658400295,243.23431658400295,243.5349772920017,space,1,0.27891258399540675,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,47,47,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.23394683399965,244.23394683399965,244.53447750000123,space,1,0.292167249997874,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,48,48,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.23394120900048,245.23394120900048,245.5347572089995,space,1,0.2895144169960986,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,49,49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.2343601249995,246.2343601249995,246.53413300000102,space,1,0.34830912499819533,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.23405483399983,247.70100420900053,space,9.863414833995193,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,,,K,space,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.1310707090015,257.1310707090015,257.4342743340021,space,1,0.884531457999401,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
