stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,37,37,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.16710570800024,131.16710570800024,131.46698520800055,space,1,0.3148121659996832,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,38,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.16734279199954,132.16734279199954,132.4674889580001,space,1,0.40363445799994224,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,39,39,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.16732062499977,133.16732062499977,133.46718529200007,space,1,0.3509580419995473,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,40,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.16767762500058,134.16767762500058,134.46811204200094,space,1,0.282121123998877,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,41,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.16763400000127,135.16763400000127,135.46732095799962,space,1,0.3611849999997503,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,42,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.1672371250006,136.1672371250006,136.46721508300107,space,1,0.3264727079986187,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,E,none,,,,,,,0,43,43,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.16757925000093,137.16757925000093,137.46730262500023,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,H,none,,,,,,,0,44,44,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.16744987499987,138.16744987499987,138.46760454200012,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,45,45,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.1676485830012,139.1676485830012,139.46750345799956,space,1,0.3351402499993128,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,46,46,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.16758016700078,140.16758016700078,140.46761620800135,space,1,0.5459047500007728,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
